date	iso_3166-1	iso_3166-2	voivodeship	cases	deaths
2020-03-25	LD	10	łódzkie	15	0
2020-03-26	LD	10	łódzkie	14	0
2020-03-27	LD	10	łódzkie	10	0
2020-03-28	LD	10	łódzkie	14	0
2020-03-29	LD	10	łódzkie	8	0
2020-03-30	LD	10	łódzkie	12	0
2020-03-31	LD	10	łódzkie	6	0
2020-04-01	LD	10	łódzkie	13	1
2020-04-02	LD	10	łódzkie	15	0
2020-04-03	LD	10	łódzkie	12	2
2020-04-04	LD	10	łódzkie	11	0
2020-04-05	LD	10	łódzkie	67	0
2020-04-06	LD	10	łódzkie	14	0
2020-04-07	LD	10	łódzkie	18	2
2020-04-08	LD	10	łódzkie	42	0
2020-04-09	LD	10	łódzkie	32	2
2020-04-10	LD	10	łódzkie	31	0
2020-04-11	LD	10	łódzkie	29	0
2020-04-12	LD	10	łódzkie	37	0
2020-04-13	LD	10	łódzkie	22	0
2020-04-14	LD	10	łódzkie	16	1
2020-04-15	LD	10	łódzkie	5	1
2020-04-16	LD	10	łódzkie	18	0
2020-04-17	LD	10	łódzkie	17	0
2020-04-18	LD	10	łódzkie	33	2
2020-04-19	LD	10	łódzkie	20	0
2020-04-20	LD	10	łódzkie	22	0
2020-04-21	LD	10	łódzkie	13	0
2020-04-22	LD	10	łódzkie	70	2
2020-04-23	LD	10	łódzkie	16	7
2020-04-24	LD	10	łódzkie	32	1
2020-04-25	LD	10	łódzkie	23	1
2020-04-26	LD	10	łódzkie	19	0
2020-04-27	LD	10	łódzkie	35	0
2020-04-28	LD	10	łódzkie	14	2
2020-04-29	LD	10	łódzkie	32	4
2020-04-30	LD	10	łódzkie	18	4
2020-05-01	LD	10	łódzkie	18	3
2020-05-02	LD	10	łódzkie	34	0
2020-05-03	LD	10	łódzkie	43	0
2020-05-04	LD	10	łódzkie	19	0
2020-05-05	LD	10	łódzkie	3	1
2020-05-06	LD	10	łódzkie	27	1
2020-05-07	LD	10	łódzkie	38	3
2020-05-08	LD	10	łódzkie	14	1
2020-05-09	LD	10	łódzkie	16	0
2020-05-10	LD	10	łódzkie	12	0
2020-05-11	LD	10	łódzkie	10	0
2020-05-12	LD	10	łódzkie	13	4
