date	country	cases	deaths	day_of_epidemie	name	alpha3Code	callingCodes	altSpellings	region	population	latlng	area	name_as_list	names
2020-03-04	china	80386	2983	43	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-05	china	80537	3015	44	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-06	china	80690	3044	45	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-07	china	80770	3072	46	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-08	china	80823	3100	47	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-09	china	80860	3123	48	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-10	china	80887	3139	49	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-11	china	80921	3161	50	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-12	china	80932	3172	51	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-13	china	80945	3180	52	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
